시,지역명,법정동,단지명,금액_만원,전용면적,층,건축년도,거래년,거래월,거래일,거래일자,거래년월,거래유형,매수자,매도자,지역코드,지번
수원시,수원시 권선구,구운동,강남(구운동),51000,84.9,5,1991,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,463
수원시,수원시 권선구,권선동,"보성,유원",35000,60,11,1996,2026,4,12,2026-04-12,2026-04,중개거래,개인,개인,41113,1265
수원시,수원시 권선구,권선동,매탄권선역리버파크,50000,59.81,8,2001,2026,4,21,2026-04-21,2026-04,중개거래,개인,개인,41113,1304
수원시,수원시 권선구,세류동,녹턴,37000,79.72,6,2006,2026,4,21,2026-04-21,2026-04,중개거래,개인,개인,41113,1248
수원시,수원시 권선구,금곡동,호반베르디움더센트럴,73000,84.9843,3,2017,2026,4,21,2026-04-21,2026-04,중개거래,개인,개인,41113,1147
수원시,수원시 권선구,금곡동,엘지빌리지2,35500,59.997,16,1998,2026,4,16,2026-04-16,2026-04,중개거래,개인,개인,41113,530
수원시,수원시 권선구,권선동,권선자이e편한세상,67000,123.4823,6,2011,2026,4,2,2026-04-02,2026-04,직거래,개인,개인,41113,1330
수원시,수원시 권선구,권선동,한성(권선동),58600,134.976,8,1995,2026,4,7,2026-04-07,2026-04,중개거래,개인,개인,41113,1267
수원시,수원시 권선구,구운동,구운동성원상떼빌,46000,59.93,6,1999,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,893
수원시,수원시 권선구,권선동,삼천리1차,31500,61.93,4,1994,2026,4,21,2026-04-21,2026-04,중개거래,개인,개인,41113,1186
수원시,수원시 권선구,오목천동,오목천역 서희스타힐스 아파트,56000,84.9852,22,2016,2026,4,18,2026-04-18,2026-04,중개거래,개인,개인,41113,1170
수원시,수원시 권선구,구운동,삼환(구운동),58000,84.9,4,1991,2026,4,20,2026-04-20,2026-04,중개거래,개인,개인,41113,462
수원시,수원시 권선구,호매실동,호매실스타힐스,45000,59.97,8,2018,2026,4,6,2026-04-06,2026-04,직거래,개인,개인,41113,1408
수원시,수원시 권선구,오목천동,영조아름다운나날2단지,38000,84.934,12,2006,2026,4,6,2026-04-06,2026-04,중개거래,개인,개인,41113,960
수원시,수원시 권선구,금곡동,수원모아미래도센트럴타운2단지,79000,99.8817,2,2017,2026,4,4,2026-04-04,2026-04,중개거래,개인,개인,41113,1077
수원시,수원시 권선구,곡반정동,수원하늘채더퍼스트2단지,67100,84.94,4,2022,2026,4,3,2026-04-03,2026-04,중개거래,개인,개인,41113,654
수원시,수원시 권선구,권선동,수원시청역SKVIEW,64000,163.17,3,2008,2026,4,14,2026-04-14,2026-04,중개거래,개인,개인,41113,1035
수원시,수원시 권선구,곡반정동,수원권선삼성래미안,35000,84.8381,4,2000,2026,4,21,2026-04-21,2026-04,직거래,개인,개인,41113,580
수원시,수원시 권선구,호매실동,호매실GS아파트,31500,59.94,8,1998,2026,4,15,2026-04-15,2026-04,중개거래,개인,개인,41113,377
수원시,수원시 권선구,세류동,공우맨션,9500,49.32,5,1979,2026,4,17,2026-04-17,2026-04,중개거래,개인,개인,41113,456-8
수원시,수원시 권선구,금곡동,엘지빌리지4,44500,84.42,7,1998,2026,4,20,2026-04-20,2026-04,중개거래,개인,개인,41113,520
수원시,수원시 권선구,세류동,성원(세류동),30000,59.4,12,1996,2026,4,23,2026-04-23,2026-04,중개거래,개인,개인,41113,141
